timestamp,ecg,pnum,condition
1671244916.754,716,4,baseline1
1671244917.47,684,4,baseline1
1671244918.154,720,4,baseline1
1671244918.874,668,4,baseline1
1671244919.542,677,4,baseline1
1671244920.219,672,4,baseline1
1671244920.891,670,4,baseline1
1671244921.561,670,4,baseline1
1671244922.231,704,4,baseline1
1671244922.935,663,4,baseline1
1671244923.598,679,4,baseline1
1671244924.277,709,4,baseline1
1671244924.986,701,4,baseline1
1671244925.687,699,4,baseline1
1671244926.386,705,4,baseline1
1671244927.091,676,4,baseline1
1671244927.767,677,4,baseline1
1671244928.444,694,4,baseline1
1671244929.138,674,4,baseline1
1671244929.812,712,4,baseline1
1671244930.524,669,4,baseline1
1671244931.193,672,4,baseline1
1671244931.865,664,4,baseline1
1671244932.529,673,4,baseline1
1671244933.202,691,4,baseline1
1671244933.893,674,4,baseline1
1671244934.567,708,4,baseline1
1671244935.275,656,4,baseline1
1671244935.931,665,4,baseline1
1671244936.596,660,4,baseline1
1671244937.256,664,4,baseline1
1671244937.92,679,4,baseline1
1671244938.599,655,4,baseline1
1671244939.254,659,4,baseline1
1671244939.913,646,4,baseline1
1671244940.559,638,4,baseline1
1671244941.197,641,4,baseline1
1671244941.838,650,4,baseline1
1671244942.488,675,4,baseline1
1671244943.163,639,4,baseline1
1671244943.802,650,4,baseline1
1671244944.452,639,4,baseline1
1671244945.091,650,4,baseline1
1671244945.741,673,4,baseline1
1671244946.414,651,4,baseline1
1671244947.065,685,4,baseline1
1671244947.75,643,4,baseline1
1671244948.393,656,4,baseline1
1671244949.049,663,4,baseline1
1671244949.712,677,4,baseline1
1671244950.389,660,4,baseline1
1671244984.401,695,4,baseline2
1671244985.096,663,4,baseline2
1671244985.759,650,4,baseline2
1671244986.409,647,4,baseline2
1671244987.056,645,4,baseline2
1671244987.701,647,4,baseline2
1671244988.348,671,4,baseline2
1671244989.019,657,4,baseline2
1671244989.676,688,4,baseline2
1671244990.364,676,4,baseline2
1671244991.04,676,4,baseline2
1671244991.716,655,4,baseline2
1671244992.371,689,4,baseline2
1671244993.06,652,4,baseline2
1671244993.712,684,4,baseline2
1671244994.396,653,4,baseline2
1671244995.049,664,4,baseline2
1671244995.713,656,4,baseline2
1671244996.369,635,4,baseline2
1671244997.004,637,4,baseline2
1671244997.641,625,4,baseline2
1671244998.266,631,4,baseline2
1671244998.897,642,4,baseline2
1671244999.539,667,4,baseline2
1671245000.206,670,4,baseline2
1671245000.876,679,4,baseline2
1671245001.555,679,4,baseline2
1671245002.234,655,4,baseline2
1671245002.889,632,4,baseline2
1671245003.521,630,4,baseline2
1671245004.151,632,4,baseline2
1671245004.783,665,4,baseline2
1671245005.448,646,4,baseline2
1671245006.094,683,4,baseline2
1671245006.777,657,4,baseline2
1671245007.434,678,4,baseline2
1671245008.112,648,4,baseline2
1671245008.76,688,4,baseline2
1671245009.448,663,4,baseline2
1671245010.111,670,4,baseline2
1671245010.781,649,4,baseline2
1671245011.43,657,4,baseline2
1671245012.087,687,4,baseline2
1671245012.774,686,4,baseline2
1671245013.46,688,4,baseline2
1671245014.148,675,4,baseline2
1671245014.823,677,4,baseline2
1671245015.5,676,4,baseline2
1671245016.176,665,4,baseline2
1671245016.841,640,4,baseline2
1671245017.481,652,4,baseline2
1671245018.133,661,4,baseline2
1671245018.794,688,4,baseline2
1671245019.482,650,4,baseline2
1671245020.132,658,4,baseline2
1671245020.79,659,4,baseline2
1671245021.449,689,4,baseline2
1671245022.138,665,4,baseline2
1671245022.803,703,4,baseline2
1671245023.506,654,4,baseline2
1671245024.16,649,4,baseline2
1671245024.809,659,4,baseline2
1671245025.468,666,4,baseline2
1671245026.134,660,4,baseline2
1671245026.794,687,4,baseline2
1671245027.481,682,4,baseline2
1671245028.163,688,4,baseline2
1671245028.851,673,4,baseline2
1671245029.524,676,4,baseline2
1671245030.2,656,4,baseline2
1671245030.856,624,4,baseline2
1671245031.48,614,4,baseline2
1671245032.094,610,4,baseline2
1671245032.704,627,4,baseline2
1671245033.331,676,4,baseline2
